# video_id: V9eI-t3TApE
# language: Chinese (Simplified) (zh-Hans)
# generated: False
# selection: medium - first manual track without an initial translation marker

[00:09:30.066] 发现在这一套很复杂的skillful的
[00:09:33.033] 或者说Agent的框架啊
[00:09:35.366] 情况下它依然能做那些
[00:09:37.500] 我自己认为不可能是
[00:09:38.933] 一个非常小的模型
[00:09:40.766] 能够做出来的事情
[00:09:42.633] 所以这是我第一次感受到
[00:09:45.633] 就是原来一个
[00:09:47.500] 非常复杂的一套Agent框架设计
[00:09:49.866] 它是能够弥补非常多模型能力的短板
[00:09:52.866] 然后
[00:09:54.500] 当然了
[00:09:56.666] 我觉得这是OpenClaw本身
[00:09:58.466] 它这个框架的一个相较于
[00:10:01.733] Claude Code的一个差异化的优势
[00:10:04.100] 嗯但是其实对于
[00:10:05.766] 如果说我们要去追求
[00:10:09.133] 你怎么在
[00:10:11.166] 不同的这个skillful框架下去
[00:10:14.200] 模型都有一个超预期的
[00:10:16.966] 非常稳定的表现
[00:10:18.366] 那么就回到了另外一个命题
[00:10:21.566] 就是
[00:10:23.333] 当你有非常多
[00:10:26.266] 现在其实是市场上的
[00:10:28.166] Agent框架非常的丰富
[00:10:29.466] 嗯
[00:10:29.700] Kilo Code OpenClaw
[00:10:31.166] 然后Kilo Code Open Code等等
[00:10:33.633] 当你面临这么多
[00:10:35.166] 很复杂的Agent框架的时候
[00:10:37.366] 你怎么让你的模型在不同框架上
[00:10:39.933] 都有一个非常稳定和超预期的表现
[00:10:42.899] 然后你怎么让你的后训练的
[00:10:44.766] 范式对应与之做适配和迁移
[00:10:48.200] 然后这个是我们
[00:10:50.733] 在这个事context的冲击下
[00:10:52.333] 快速地去思考的第二个问题
[00:10:54.166] 所以我们对应的
[00:10:56.066] 整个后训练范式就要
[00:10:57.933] 从所谓的Chat到Agent的
[00:11:00.066] 这样这样的一个迁移
[00:11:01.433] 所以你对OpenClaw的认知
[00:11:04.633] 发生了一个非常大的变化
[00:11:06.233] 这个是在春节期间发生的
[00:11:08.033] 对
[00:11:08.566] 为什么开始是抵触的呢
[00:11:10.866] 我觉得
[00:11:12.799] 如果要追求非常顶尖的编程的体验
[00:11:17.600] 对Code的体验
[00:11:19.466] 就是哪怕是当下
[00:11:22.533] 也是Claude Code加Claude Opus
[00:11:25.200] 4.6是最好的
[00:11:26.366] 嗯
[00:11:26.666] 所以如果你是在这样的
[00:11:28.866] 一个终局去思考的话
[00:11:31.000] 就其它的任何Agent框架
[00:11:33.033] 其实确实都可以忽略掉但是
[00:11:38.333] 但是一个问题是Code它
[00:11:42.399] 是一个泛化性非常强的一个场景
[00:11:46.866] 嗯
[00:11:47.133] 就是你针对它去做了
[00:11:48.566] 非常多Agent的设计也好
[00:11:50.833] 或者说模型的训练也好
[00:11:52.833] 它都是有价值的
[00:11:54.166] 但并不代表说啊它这个泛化
[00:11:56.666] 性能保证你在非Code的场景能够
[00:11:59.733] 做到非常高的准确率和完成度
[00:12:04.566] 嗯
[00:12:04.933] 所以我觉得虽然也会
[00:12:08.466] 用Claude Code来做一些非Code的东西
[00:12:10.866] 但是我并没有期待说它在这套
[00:12:13.633] 框架上能给我一个很高的完成度
[00:12:16.000] 因为我知道我会去帮它补充
[00:12:18.733] 这套框架不具备的一些短板
[00:12:21.766] 但是我去用OpenClaw的时候
[00:12:23.600] 我觉得我不用考虑这些
[00:12:25.833] 就它完全在
[00:12:27.433] Agent框架本身就去
[00:12:28.966] 弥补掉了很多模型的短板
[00:12:31.966] 我能理解OpenClaw是让Coding
[00:12:34.133] 能力泛化出来的一个产品吗
[00:12:36.433] 它在很多设计逻辑上
[00:12:39.733] 比如说它有更多的message的channel
[00:12:44.000] 比如说它有更自主的一些
[00:12:47.766] 比如说像定时任务心跳任务然后
[00:12:51.799] 这些更适合日常场景
[00:12:54.299] 因为你写代码你通常
[00:12:55.933] 不会需要一个心跳任务吧
[00:12:58.066] 然后如果你是日常生活
[00:13:00.600] 你心跳任务就很关键
[00:13:02.666] 它确实有很多框架的设计去为了
[00:13:05.966] 让它去适应更好的日常的任务
[00:13:09.000] 但是我觉得它也没有去丢弃
